idx,key,name,type,property,damage_count,script,skill_desc,effect_desc,animation,cost,damage_min,damage_max,imp_1_cost,imp_1_min,imp_1_max,imp_2_cost,imp_2_min,imp_2_max,imp_3_cost,imp_3_min,imp_3_max,sale,eng_name
1,1,베기,Attack,Slash,1,Cut,칼을 휘둘러 상대를 베어냅니다,act 2를 획득,atk_1,1,2,3,1,4,4,1,4,5,1,5,7,50,Cut
2,1,예리한 베기,Attack,Slash,2,,칼을 휘둘러 상대의 약점을 베어냅니다.,,atk_2,2,8,12,2,10,12,1,10,13,1,11,15,125,Enhance_Cut
3,2,찌르기,Attack,Penetrate,3,Stab,칼로 상대의 신체를 꿰뚫습니다.,다음에 사용하는 스킬 3개의 피해량 10% 증가,atk_3,1,3,3,1,3,3,1,4,5,1,5,7,50,Stab
4,2,정교한 찌르기,Attack,Penetrate,1,,칼로 상대의 약한 부위를 꿰뚫습니다.,,atk_1,2,8,12,2,10,12,1,10,13,1,11,15,125,Enhance_Stab
5,3,부수기,Attack,Hit,2,Smashing,상대를 내리쳐 자세를 흐트러뜨립니다.,[[대상] 방어 사용] 해당 스킬을 파괴,atk_2,1,4,7,1,6,7,1,6,8,1,7,10,50,Smashing
6,3,강력한 부수기,Attack,Hit,3,,상대를 내려쳐 큰 피해를 줍니다.,,atk_3,3,13,17,3,15,17,3,15,18,3,16,20,125,Enhance_Smashing
7,1,막기,Defence,Defense,1,Defence,가볍게 자세를 고쳐잡습니다.,[[대상] 타격 사용] act 2를 획득,Guard,1,3,6,1,5,6,1,5,7,1,6,9,75,Defence
8,2,흘리기,Defence,Defense,1,Spilling,상대방의 검을 흘려냅니다.,이번 전투 페이즈에서 받는 피해량 30% 감소,Guard,1,5,9,1,7,9,1,7,10,1,8,12,75,Spilling
9,3,쳐내기,Defence,Defense,1,Blocking,상대방의 칼날을 맞받아칩니다.,다음 턴에 주는 피해량 3% 증가,Guard,1,2,4,1,3,4,1,3,6,1,4,8,75,Blocking
10,1,준비,Attack,Hit,1,Ready,다음 공격을 준비합니다.,다음에 사용하는 스킬 1개의 피해량 30% 증가,atk_1,1,2,3,1,4,4,1,4,5,1,5,7,200,Ready
11,2,경계,Attack,Hit,4,Onguard,상대에게서 떨어져 가볍게 공격을 주고받습니다.,[[대상] 참격 사용] 해당 스킬의 피해량 20% 감소,atk_4,2,4,8,2,6,8,2,6,12,1,8,14,200,Onguard
